id,season,episode,title,us_viewers,weiner
0,1,1,"""Smoke Gets in Your Eyes""",1.65,2.0
1,1,2,"""Ladies Room""",1.04,2.0
2,1,3,"""Marriage of Figaro""",1.07,0.0
3,1,4,"""New Amsterdam""",0.85,0.0
4,1,5,"""5G""",0.85,2.0
5,1,6,"""Babylon""",2.07,0.0
6,1,7,"""Red in the Face""",2.07,0.0
7,1,8,"""The Hobo Code""",2.07,0.0
8,1,9,"""Shoot""",0.84,1.0
9,1,10,"""Long Weekend""",0.84,1.0
10,1,11,"""Indian Summer""",0.84,1.0
11,1,12,"""Nixon vs. Kennedy""",0.84,0.0
12,1,13,"""The Wheel""",0.93,1.0
13,2,1,"""For Those Who Think Young""",2.06,2.0
14,2,2,"""Flight 1""",1.33,1.0
15,2,3,"""The Benefactor""",1.25,1.0
16,2,4,"""Three Sundays""",1.07,0.0
17,2,5,"""The New Girl""",1.47,0.0
18,2,6,"""Maidenform""",1.46,2.0
19,2,7,"""The Gold Violin""",1.67,1.0
20,2,8,"""A Night to Remember""",1.87,1.0
21,2,9,"""Six Month Leave""",1.6,1.0
22,2,10,"""The Inheritance""",1.3,1.0
23,2,11,"""The Jet Set""",1.5,2.0
24,2,12,"""The Mountain King""",1.4,1.0
25,2,13,"""Meditations in an Emergency""",1.75,1.0
26,3,1,"""Out of Town""",2.76,2.0
27,3,2,"""Love Among the Ruins""",1.9,1.0
28,3,3,"""My Old Kentucky Home""",1.61,1.0
29,3,4,"""The Arrangements""",1.51,1.0
30,3,5,"""The Fog""",1.75,0.0
31,3,6,"""Guy Walks Into an Advertising Agency""",1.57,1.0
32,3,7,"""Seven Twenty Three""",1.73,1.0
33,3,8,"""Souvenir""",1.91,1.0
34,3,9,"""Wee Small Hours""",1.53,1.0
35,3,10,"""The Color Blue""",1.61,1.0
36,3,11,"""The Gypsy and the Hobo""",1.72,1.0
37,3,12,"""The Grown-Ups""",1.78,1.0
38,3,13,"""Shut the Door. Have a Seat.""",2.32,1.0
39,4,1,"""Public Relations""",2.92,2.0
40,4,2,"""Christmas Comes But Once a Year""",2.47,1.0
41,4,3,"""The Good News""",2.22,1.0
42,4,4,"""The Rejected""",2.05,1.0
43,4,5,"""The Chrysanthemum and the Sword""",2.19,0.0
44,4,6,"""Waldorf Stories""",2.04,1.0
45,4,7,"""The Suitcase""",2.17,2.0
46,4,8,"""The Summer Man""",2.31,1.0
47,4,9,"""The Beautiful Girls""",2.29,1.0
48,4,10,"""Hands and Knees""",2.12,1.0
49,4,11,"""Chinese Wall""",2.06,0.0
50,4,12,"""Blowing Smoke""",2.23,0.0
51,4,13,"""Tomorrowland""",2.44,1.0
52,5,1,"""A Little Kiss""",3.54,2.0
53,5,3,"""Tea Leaves""",2.94,1.0
54,5,4,"""Mystery Date""",2.75,1.0
55,5,5,"""Signal 30""",2.69,1.0
56,5,6,"""Far Away Places""",2.66,1.0
57,5,7,"""At the Codfish Ball""",2.31,0.0
58,5,8,"""Lady Lazarus""",2.29,2.0
59,5,9,"""Dark Shadows""",2.13,0.0
60,5,10,"""Christmas Waltz""",1.92,1.0
61,5,11,"""The Other Woman""",2.07,1.0
62,5,12,"""Commissions and Fees""",2.41,0.0
63,5,13,"""The Phantom""",2.7,1.0
64,6,1,"""The Doorway""",3.37,2.0
65,6,3,"""Collaborators""",2.66,1.0
66,6,4,"""To Have and to Hold""",2.4,0.0
67,6,5,"""The Flood""",2.38,1.0
68,6,6,"""For Immediate Release""",2.45,2.0
69,6,7,"""Man with a Plan""",2.36,1.0
70,6,8,"""The Crash""",2.16,1.0
71,6,9,"""The Better Half""",1.88,1.0
72,6,10,"""A Tale of Two Cities""",2.45,1.0
73,6,11,"""Favors""",2.17,1.0
74,6,12,"""The Quality of Mercy""",2.06,0.0
75,6,13,"""In Care Of""",2.69,1.0
76,7,1,"""Time Zones""",2.27,2.0
77,7,2,"""A Day's Work""",1.89,1.0
78,7,3,"""Field Trip""",2.02,1.0
79,7,4,"""The Monolith""",2.14,0.0
80,7,5,"""The Runaways""",1.86,1.0
81,7,6,"""The Strategy""",1.93,0.0
82,7,7,"""Waterloo""",1.94,1.0
83,7,8,"""Severance""",2.27,2.0
84,7,9,"""New Business""",1.97,1.0
85,7,10,"""The Forecast""",1.87,1.0
86,7,11,"""Time & Life""",1.77,1.0
87,7,12,"""Lost Horizon""",1.79,1.0
88,7,13,"""The Milk and Honey Route""",1.87,1.0
89,7,14,"""Person to Person""",3.29,2.0
