open,inf,pcinc,land,oil,good
31.4,9.9,1998,919595,0,0
9.4,117.0,4342,1072067,0,1
16.7,9.5,8349,2966150,0,1
35.6,5.0,8230,32375,0,1
91.0,4.8,9185,240,1,0
17.0,12.9,540,55598,0,0
72.8,10.7,4454,166,0,0
58.8,6.0,9228,11781,0,1
38.9,10.3,534,43483,0,0
23.2,206.7,1529,424162,0,1
66.4,10.1,1477,231800,0,1
7.4,74.1,3356,3286470,0,1
40.7,8.8,358,105870,0,0
8.9,5.5,483,261220,0,0
19.5,8.3,333,10747,0,0
24.3,10.2,875,183569,0,0
24.5,7.1,11332,3851809,0,1
13.9,10.7,487,241313,0,0
23.1,59.4,4271,292132,0,1
13.7,21.6,2552,439735,0,1
55.0,10.9,981,132046,0,0
37.8,20.6,3031,19652,0,1
60.0,8.9,4282,3572,0,1
33.2,8.1,9598,16631,0,1
21.4,12.1,1868,18704,0,1
25.0,20.4,2607,109484,0,1
32.9,8.9,995,386900,0,0
33.4,13.1,1410,8260,0,1
18.1,4.4,325,472432,0,0
49.1,9.5,3005,7078,0,1
28.6,9.4,8393,130119,0,1
21.1,8.9,9688,211208,0,1
34.3,13.3,2973,103346,1,0
56.5,14.9,556,4093,0,0
26.6,3.8,9795,96010,0,1
13.1,38.2,421,92100,0,0
27.6,16.2,4383,50961,0,1
21.9,11.7,1952,42042,0,1
72.1,11.8,1623,83000,0,0
34.4,6.0,696,10714,0,0
35.6,7.1,1075,43277,0,1
81.7,8.3,7268,398,0,0
39.3,35.1,9285,39709,0,1
8.1,7.8,614,1229737,0,1
21.8,14.5,1063,735268,0,1
18.3,16.2,2944,636293,1,0
56.6,11.1,4929,26600,0,1
57.5,75.3,6145,8020,0,1
22.9,13.8,7164,116500,0,1
37.0,10.6,1110,124502,0,0
49.3,16.8,1858,4411,0,1
12.9,4.3,9447,143574,0,1
94.6,7.9,1885,37297,0,0
32.0,10.3,662,224960,0,1
36.3,13.0,2369,38031,0,1
38.3,9.6,19454,6880,1,0
117.8,10.7,694,11720,0,0
55.7,7.8,680,43000,0,0
76.5,6.1,10173,999,0,1
22.8,13.2,589,226660,0,0
33.9,11.1,417,45747,0,0
51.7,4.6,3112,128328,0,1
91.6,4.2,4630,122,0,1
66.7,9.9,576,397953,0,0
57.1,13.3,1484,787,0,0
10.8,32.8,4333,761600,0,1
31.4,8.4,1199,172413,0,1
18.6,9.0,490,54463,0,0
50.7,4.6,9036,16041,0,1
30.8,11.6,7363,103884,0,1
31.9,41.5,2012,50180,0,0
32.5,13.8,441,489206,0,0
17.8,15.1,824,356700,0,0
42.7,7.7,11094,125049,0,1
41.7,10.4,6209,82030,1,0
20.1,9.7,989,310400,0,1
43.5,5.4,2810,29761,0,1
49.4,7.1,1528,178704,0,0
21.9,15.7,1979,157047,0,1
20.4,49.5,2456,496222,0,1
22.6,13.1,1551,115830,0,1
38.5,18.7,3733,35550,0,1
18.6,10.1,379,10169,0,0
35.3,10.0,11101,865000,1,0
45.4,10.6,744,75954,0,0
26.0,20.1,512,27700,0,0
163.8,3.6,5817,220,0,0
18.4,26.9,415,246199,0,0
25.5,12.9,4286,471440,0,1
18.3,13.7,6131,194885,0,1
38.3,12.4,1119,25332,0,1
15.8,21.2,652,967491,0,0
57.6,9.4,3760,63251,0,0
77.9,13.6,1079,6704,0,0
30.4,8.9,8863,173800,0,1
34.7,3.8,10013,15941,0,1
29.8,13.5,3071,71498,0,1
45.8,6.7,2921,13895,0,1
23.5,15.9,353,364900,0,1
25.9,6.0,1694,198455,0,1
49.0,8.9,625,21925,0,0
37.1,14.2,7161,1980,0,1
40.4,8.2,1845,63379,0,1
12.8,32.2,2319,300947,0,1
9.2,39.8,257,91343,0,0
33.2,10.2,25646,32000,1,0
27.2,10.6,7975,94247,0,1
9.3,6.2,11404,3540939,0,1
19.3,44.0,4502,68040,0,0
24.3,14.0,4424,352143,0,0
46.7,13.0,957,128560,0,0
39.6,43.2,224,905365,0,0
39.6,17.5,716,290586,0,0
27.7,10.4,930,150699,0,1
