base,degree,years
45388,BA,5.0
60649,MA,15.0
60649,MA,16.0
54466,BA,10.0
65360,BA,26.0
65360,BA,28.5
58097,BA,12.0
68230,MA,32.0
65360,BA,25.0
58097,BA,12.0
35427,BA,0.0
49929,BA,7.5
65360,BA,40.0
43575,BA,4.0
51174,MA,7.0
65360,BA,34.0
68230,MA,36.0
64440,MA,20.0
68230,MA,28.5
51174,MA,8.0
45486,MA,4.0
65360,BA,28.0
65360,BA,25.0
54962,MA,9.0
65360,BA,33.0
52653,BA,9.0
68230,MA,31.0
65360,BA,32.0
53067,MA,8.0
61729,BA,20.0
68230,MA,28.0
59914,BA,16.0
68230,MA,37.0
58752,MA,11.0
62545,MA,17.0
41695,MA,2.0
43593,MA,3.0
65360,BA,29.0
37199,BA,1.0
59914,BA,19.0
58097,BA,15.0
59914,BA,19.0
59914,BA,18.0
54962,MA,9.0
53067,MA,8.0
40739,BA,3.0
60649,MA,14.0
48710,BA,7.5
53067,MA,8.0
65360,BA,31.0
60649,MA,15.0
40739,BA,3.0
57806,MA,10.5
58097,BA,15.0
35427,BA,0.0
54962,MA,9.0
54962,BA,9.0
61216,MA,13.0
61729,BA,22.0
60649,MA,14.0
51174,MA,7.0
49020,BA,7.0
65360,BA,29.0
59914,BA,16.0
61729,BA,23.0
49279,MA,7.0
38968,BA,2.0
65360,BA,31.0
48330,MA,5.5
68230,MA,27.0
